id,name,desc,type,md5,omics_id,omics_type
50,PRO000000059_EPT000000059_SCT000000059.h5ad,sct_expr,h5ad,8c064aa616635900f507d4aa5c819e4a,SCT000000059,1
51,PRO000000060_EPT000000060_SCT000000060.h5ad,sct_expr,h5ad,20ec5ad1bb21bac9d443a0485a24dd90,SCT000000060,1
52,PRO000000062_EPT000000062_SCT000000062.h5ad,sct_expr,h5ad,1046e79119bea625b1927ef25562eca1,SCT000000062,1
53,PRO000000063_EPT000000063_SCT000000063.h5ad,sct_expr,h5ad,01d6bf6bbbe305b8134cd54c208ed055,SCT000000063,1
54,PRO000000064_EPT000000064_SCT000000064.h5ad,sct_expr,h5ad,30d3e7b8c5dd150df685567ba8a4552d,SCT000000064,1
55,PRO000000065_EPT000000065_SCT000000065.h5ad,sct_expr,h5ad,f07c8b6eb2b5fb1d65c548253de8b7a7,SCT000000065,1
56,PRO000000066_EPT000000066_SCT000000066.h5ad,sct_expr,h5ad,8c44a6bef2434736d23adb4aeab2a47f,SCT000000066,1
57,PRO000000067_EPT000000067_SCT000000067.h5ad,sct_expr,h5ad,e52568f0f3558a76a367dcdd065ea00a,SCT000000067,1
58,PRO000000068_EPT000000068_SCT000000068.h5ad,sct_expr,h5ad,9d0280fc5dd830cb8055c9202703c904,SCT000000068,1
59,PRO000000069_EPT000000069_SCT000000069.h5ad,sct_expr,h5ad,4cd9896fad4d8665b4523b1e5647387b,SCT000000069,1
60,PRO000000070_EPT000000070_SCT000000070.h5ad,sct_expr,h5ad,7d911c715217fecfebc57a1eaa42e858,SCT000000070,1
61,PRO000000071_EPT000000071_SCT000000071.h5ad,sct_expr,h5ad,bd19e2c4ee56115847eca70ca5edf928,SCT000000071,1
62,PRO000000072_EPT000000072_SCT000000072.h5ad,sct_expr,h5ad,925d391d36b445fd31b7390a3bb5894b,SCT000000072,1
63,PRO000000073_EPT000000073_SCT000000073.h5ad,sct_expr,h5ad,e39dd0aef26a7c0f259f691dd3693fd3,SCT000000073,1
64,PRO000000075_EPT000000075_SCT000000075.h5ad,sct_expr,h5ad,404374a4fca0195167bf741a990fa8f9,SCT000000075,1
65,PRO000000076_EPT000000076_SCT000000076.h5ad,sct_expr,h5ad,c4a9e61082e70414fef76f7a452fc3ec,SCT000000076,1
66,PRO000000077_EPT000000077_SCT000000077.h5ad,sct_expr,h5ad,9a08a5b6dfa1c8b69a89bc33f47ab35a,SCT000000077,1
67,PRO000000081_EPT000000081_SCT000000081.h5ad,sct_expr,h5ad,434225841487db519d4d6db9319fa44b,SCT000000081,1
68,PRO000000082_EPT000000082_SCT000000082.h5ad,sct_expr,h5ad,672d2d178fc8c00d529e7cf0b079fe7c,SCT000000082,1
69,PRO000000083_EPT000000083_SCT000000083.h5ad,sct_expr,h5ad,238ba0281e2360b86d6928f092868f88,SCT000000083,1
70,PRO000000085_EPT000000085_SCT000000085.h5ad,sct_expr,h5ad,b90616fab20075b932f39fc343457d18,SCT000000085,1
