id,annotation_id,type,project_id,experiment_id,omics_id,sample_id,celltype_id,celltype_name,celltype_ontology,root_celltype_id,father_celltype_id,path,celltype_number
227679,ANO000000171,1,290,295,SCT000000267,SAM000181390,3484,vSMC,,3484,,/3484,2
227680,ANO000000171,1,290,295,SCT000000267,SAM000181390,3499,T cell,CL:0000084,3499,,/3499,5
227681,ANO000000171,1,290,295,SCT000000267,SAM000181390,186,Kupffer cell,CL:0000091,186,,/186,8
227682,ANO000000171,1,290,295,SCT000000267,SAM000181390,3506,LSEC,,3506,,/3506,3
227683,ANO000000171,1,290,295,SCT000000267,SAM000181390,3595,Stellate cell,,3595,,/3595,1
227684,ANO000000171,1,290,295,SCT000000267,SAM000181389,3595,Stellate cell,,3595,,/3595,1
227685,ANO000000171,1,290,295,SCT000000267,SAM000181390,3527,Hepatocyte,,3527,,/3527,1
227686,ANO000000171,1,290,295,SCT000000267,SAM000181390,3577,TM1,,3577,,/3577,1
227687,ANO000000171,1,290,295,SCT000000267,SAM000181390,3561,cDC1,,3561,,/3561,1
227688,ANO000000171,1,290,295,SCT000000267,SAM000181400,3499,T cell,CL:0000084,3499,,/3499,8
227689,ANO000000171,1,290,295,SCT000000267,SAM000181400,3600,cDC2,,3600,,/3600,3
227690,ANO000000171,1,290,295,SCT000000267,SAM000181400,3501,Carcinoma 1,,3501,,/3501,1
227691,ANO000000171,1,290,295,SCT000000267,SAM000181400,3551,SAM,,3551,,/3551,1
227692,ANO000000171,1,290,295,SCT000000267,SAM000181400,3530,Proliferation,,3530,,/3530,1
227693,ANO000000171,1,290,295,SCT000000267,SAM000181387,3499,T cell,CL:0000084,3499,,/3499,8
227694,ANO000000171,1,290,295,SCT000000267,SAM000181394,3501,Carcinoma 1,,3501,,/3501,23
227695,ANO000000171,1,290,295,SCT000000267,SAM000181394,3551,SAM,,3551,,/3551,25
227696,ANO000000171,1,290,295,SCT000000267,SAM000181394,3550,B cell,CL:0000236,3550,,/3550,3
227697,ANO000000171,1,290,295,SCT000000267,SAM000181388,3600,cDC2,,3600,,/3600,8
227698,ANO000000171,1,290,295,SCT000000267,SAM000181388,3551,SAM,,3551,,/3551,12
227699,ANO000000171,1,290,295,SCT000000267,SAM000181388,3613,LVEC,,3613,,/3613,13
227700,ANO000000171,1,290,295,SCT000000267,SAM000181394,3613,LVEC,,3613,,/3613,1
227701,ANO000000171,1,290,295,SCT000000267,SAM000181388,3506,LSEC,,3506,,/3506,8
227702,ANO000000171,1,290,295,SCT000000267,SAM000181388,3484,vSMC,,3484,,/3484,3
