id,project_id,omics_id,annotation_id,annotation_type,name,logfoldchange,method,pval,pval_adj,score,layer,father_uplayer,gene_id,celltype_id,celltype_ontology,celltype_name,logfoldchange_rank,pval_rank
341102,289,SCT000000266,ANO000000170,1,Gene:hsa:325,3.08,t-test,0,0,110,1,root,325,3544,,Hepatocyte_1,7,2
341103,289,SCT000000266,ANO000000170,1,Gene:hsa:7276,2.91,t-test,0,0,106,1,root,7276,3544,,Hepatocyte_1,10,3
341104,289,SCT000000266,ANO000000170,1,Gene:hsa:4257,2.84,t-test,0,0,102,1,root,4257,3544,,Hepatocyte_1,13,4
341105,289,SCT000000266,ANO000000170,1,Gene:hsa:350,2.82,t-test,0,0,101,1,root,350,3544,,Hepatocyte_1,15,5
341106,289,SCT000000266,ANO000000170,1,Gene:hsa:5950,2.76,t-test,0,0,101,1,root,5950,3544,,Hepatocyte_1,16,6
341107,289,SCT000000266,ANO000000170,1,Gene:hsa:125,2.85,t-test,0,0,99.1,1,root,125,3544,,Hepatocyte_1,12,7
341108,289,SCT000000266,ANO000000170,1,Gene:hsa:5005,2.7,t-test,0,0,98.9,1,root,5005,3544,,Hepatocyte_1,20,8
341109,289,SCT000000266,ANO000000170,1,Gene:hsa:563,2.87,t-test,0,0,98.3,1,root,563,3544,,Hepatocyte_1,11,9
341110,289,SCT000000266,ANO000000170,1,Gene:hsa:462,3.04,t-test,0,0,98.2,1,root,462,3544,,Hepatocyte_1,8,10
341111,289,SCT000000266,ANO000000170,1,Gene:hsa:6291,3.33,t-test,0,0,96.8,1,root,6291,3544,,Hepatocyte_1,5,11
341112,289,SCT000000266,ANO000000170,1,Gene:hsa:1559,3.27,t-test,0,0,96.1,1,root,1559,3544,,Hepatocyte_1,6,12
341113,289,SCT000000266,ANO000000170,1,Gene:hsa:5919,2.95,t-test,0,0,95.3,1,root,5919,3544,,Hepatocyte_1,9,13
341114,289,SCT000000266,ANO000000170,1,Gene:hsa:1652,2.4,t-test,0,0,94,1,root,1652,3544,,Hepatocyte_1,28,14
341115,289,SCT000000266,ANO000000170,1,Gene:hsa:4143,2.7,t-test,0,0,91.8,1,root,4143,3544,,Hepatocyte_1,21,15
341116,289,SCT000000266,ANO000000170,1,Gene:hsa:1528,2.57,t-test,0,0,90.6,1,root,1528,3544,,Hepatocyte_1,23,16
341117,289,SCT000000266,ANO000000170,1,Gene:hsa:51181,2.46,t-test,0,0,90.3,1,root,51181,3544,,Hepatocyte_1,25,17
