id,omics_id,sample_id
155982,SCT000000274,SAM000182626
155983,SCT000000274,SAM000182627
155984,SCT000000274,SAM000182628
155985,SCT000000274,SAM000182629
155986,SCT000000274,SAM000182630
155987,SCT000000274,SAM000182631
155988,SCT000000274,SAM000182632
155989,SCT000000274,SAM000182633
155990,SCT000000274,SAM000182634
155991,SCT000000274,SAM000182635
155992,SCT000000274,SAM000182637
155993,SCT000000274,SAM000182638
155994,SCT000000274,SAM000182639
155995,SCT000000274,SAM000182640
155996,SCT000000274,SAM000182641
155997,SCT000000274,SAM000182643
155998,SCT000000274,SAM000182645
155999,SCT000000274,SAM000182646
156000,SCT000000274,SAM000182647
156001,SCT000000274,SAM000182616
156002,SCT000000274,SAM000182615
156003,SCT000000274,SAM000182614
156004,SCT000000274,SAM000182613
156005,SCT000000274,SAM000182583
156006,SCT000000274,SAM000182584
156007,SCT000000274,SAM000182585
156008,SCT000000274,SAM000182586
156009,SCT000000274,SAM000182587
156010,SCT000000274,SAM000182588
156011,SCT000000274,SAM000182589
156012,SCT000000274,SAM000182590
156013,SCT000000274,SAM000182592
156014,SCT000000274,SAM000182593
156015,SCT000000274,SAM000182594
156016,SCT000000274,SAM000182595
156017,SCT000000274,SAM000182596
156018,SCT000000274,SAM000182648
156019,SCT000000274,SAM000182597
156020,SCT000000274,SAM000182599
156021,SCT000000274,SAM000182600
156022,SCT000000274,SAM000182601
156023,SCT000000274,SAM000182602
156024,SCT000000274,SAM000182603
156025,SCT000000274,SAM000182604
156026,SCT000000274,SAM000182605
156027,SCT000000274,SAM000182606
156028,SCT000000274,SAM000182607
156029,SCT000000274,SAM000182608
156030,SCT000000274,SAM000182609
156031,SCT000000274,SAM000182611
156032,SCT000000274,SAM000182612
156033,SCT000000274,SAM000182598
156034,SCT000000274,SAM000182649
156035,SCT000000274,SAM000182650
156036,SCT000000274,SAM000182651
156037,SCT000000274,SAM000182688
156038,SCT000000274,SAM000182689
156039,SCT000000274,SAM000182690
156040,SCT000000274,SAM000182691
156041,SCT000000274,SAM000182692
156042,SCT000000274,SAM000182693
156043,SCT000000274,SAM000182694
156044,SCT000000274,SAM000182695
156045,SCT000000274,SAM000182696
156046,SCT000000274,SAM000182697
156047,SCT000000274,SAM000182698
156048,SCT000000274,SAM000182699
156049,SCT000000274,SAM000182700
156050,SCT000000274,SAM000182687
156051,SCT000000274,SAM000182701
156052,SCT000000274,SAM000182703
156053,SCT000000274,SAM000182704
156054,SCT000000274,SAM000182705
156055,SCT000000274,SAM000182707
156056,SCT000000274,SAM000182708
156057,SCT000000274,SAM000183854
156058,SCT000000274,SAM000183855
156059,SCT000000274,SAM000183856
156060,SCT000000274,SAM000183858
156061,SCT000000274,SAM000183859
156062,SCT000000274,SAM000183860
156063,SCT000000274,SAM000183861
156064,SCT000000274,SAM000183862
156065,SCT000000274,SAM000182702
156066,SCT000000274,SAM000182581
156067,SCT000000274,SAM000182686
156068,SCT000000274,SAM000182684
156069,SCT000000274,SAM000182652
156070,SCT000000274,SAM000182653
156071,SCT000000274,SAM000182654
156072,SCT000000274,SAM000182655
156073,SCT000000274,SAM000182656
156074,SCT000000274,SAM000182657
156075,SCT000000274,SAM000182658
156076,SCT000000274,SAM000182660
156077,SCT000000274,SAM000182661
156078,SCT000000274,SAM000182662
156079,SCT000000274,SAM000182663
156080,SCT000000274,SAM000182664
156081,SCT000000274,SAM000182665
156082,SCT000000274,SAM000182685
156083,SCT000000274,SAM000182666
156084,SCT000000274,SAM000182668
156085,SCT000000274,SAM000182669
156086,SCT000000274,SAM000182670
156087,SCT000000274,SAM000182671
156088,SCT000000274,SAM000182674
156089,SCT000000274,SAM000182675
156090,SCT000000274,SAM000182677
156091,SCT000000274,SAM000182678
156092,SCT000000274,SAM000182679
156093,SCT000000274,SAM000182680
156094,SCT000000274,SAM000182681
156095,SCT000000274,SAM000182682
