sample_id,omics_id,sample_name,organ,species,sample_number,cell_number
SAM000183193,SCT000000274,RHP4797 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183211,SCT000000274,RHP4815 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183194,SCT000000274,RHP4798 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183196,SCT000000274,RHP4800 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183197,SCT000000274,RHP4801 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183198,SCT000000274,RHP4802 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183199,SCT000000274,RHP4803 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183200,SCT000000274,RHP4804 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183201,SCT000000274,RHP4805 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183202,SCT000000274,RHP4806 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183203,SCT000000274,RHP4807 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183204,SCT000000274,RHP4808 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183205,SCT000000274,RHP4809 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183206,SCT000000274,RHP4810 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183207,SCT000000274,RHP4811 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183209,SCT000000274,RHP4813 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183195,SCT000000274,RHP4799 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183243,SCT000000274,RHP4847 scRNA-Seq,liver,Homo sapiens,2238,2036
