sample_name,sample_id,cell_number
RHP4751 scRNA-Seq,SAM000183147,2036
RHP4752 scRNA-Seq,SAM000183148,2036
RHP4753 scRNA-Seq,SAM000183149,2036
RHP4754 scRNA-Seq,SAM000183150,2036
RHP4755 scRNA-Seq,SAM000183151,2036
RHP4756 scRNA-Seq,SAM000183152,2036
RHP4759 scRNA-Seq,SAM000183155,2036
RHP4760 scRNA-Seq,SAM000183156,2036
RHP4761 scRNA-Seq,SAM000183157,2036
RHP4762 scRNA-Seq,SAM000183158,2036
RHP4763 scRNA-Seq,SAM000183159,2036
RHP4765 scRNA-Seq,SAM000183161,2036
RHP4766 scRNA-Seq,SAM000183162,2036
RHP4767 scRNA-Seq,SAM000183163,2036
RHP4768 scRNA-Seq,SAM000183164,2036
RHP4769 scRNA-Seq,SAM000183165,2036
RHP4770 scRNA-Seq,SAM000183166,2036
RHP4771 scRNA-Seq,SAM000183167,2036
RHP4772 scRNA-Seq,SAM000183168,2036
RHP4773 scRNA-Seq,SAM000183169,2036
RHP4774 scRNA-Seq,SAM000183170,2036
RHP4775 scRNA-Seq,SAM000183171,2036
RHP4776 scRNA-Seq,SAM000183172,2036
RHP4777 scRNA-Seq,SAM000183173,2036
RHP4778 scRNA-Seq,SAM000183174,2036
RHP4779 scRNA-Seq,SAM000183175,2036
RHP4780 scRNA-Seq,SAM000183176,2036
RHP4781 scRNA-Seq,SAM000183177,2036
RHP4782 scRNA-Seq,SAM000183178,2036
RHP4783 scRNA-Seq,SAM000183179,2036
RHP4784 scRNA-Seq,SAM000183180,2036
RHP4785 scRNA-Seq,SAM000183181,2036
RHP4786 scRNA-Seq,SAM000183182,2036
RHP4787 scRNA-Seq,SAM000183183,2036
RHP4788 scRNA-Seq,SAM000183184,2036
RHP4789 scRNA-Seq,SAM000183185,2036
RHP4790 scRNA-Seq,SAM000183186,2036
RHP4791 scRNA-Seq,SAM000183187,2036
RHP4792 scRNA-Seq,SAM000183188,2036
RHP4793 scRNA-Seq,SAM000183189,2036
RHP4795 scRNA-Seq,SAM000183191,2036
RHP4796 scRNA-Seq,SAM000183192,2036
RHP4797 scRNA-Seq,SAM000183193,2036
RHP4798 scRNA-Seq,SAM000183194,2036
RHP4799 scRNA-Seq,SAM000183195,2036
RHP4800 scRNA-Seq,SAM000183196,2036
RHP4801 scRNA-Seq,SAM000183197,2036
RHP4802 scRNA-Seq,SAM000183198,2036
RHP4803 scRNA-Seq,SAM000183199,2036
RHP4804 scRNA-Seq,SAM000183200,2036
RHP4805 scRNA-Seq,SAM000183201,2036
RHP4806 scRNA-Seq,SAM000183202,2036
RHP4807 scRNA-Seq,SAM000183203,2036
RHP4808 scRNA-Seq,SAM000183204,2036
RHP4809 scRNA-Seq,SAM000183205,2036
RHP4810 scRNA-Seq,SAM000183206,2036
RHP4811 scRNA-Seq,SAM000183207,2036
RHP4812 scRNA-Seq,SAM000183208,2036
RHP4813 scRNA-Seq,SAM000183209,2036
RHP4814 scRNA-Seq,SAM000183210,2036
RHP4815 scRNA-Seq,SAM000183211,2036
RHP4816 scRNA-Seq,SAM000183212,2036
RHP4817 scRNA-Seq,SAM000183213,2036
RHP4818 scRNA-Seq,SAM000183214,2036
RHP4819 scRNA-Seq,SAM000183215,2036
RHP4820 scRNA-Seq,SAM000183216,2036
RHP4821 scRNA-Seq,SAM000183217,2036
RHP4822 scRNA-Seq,SAM000183218,2036
RHP4823 scRNA-Seq,SAM000183219,2036
RHP4824 scRNA-Seq,SAM000183220,2036
RHP4825 scRNA-Seq,SAM000183221,2036
RHP4826 scRNA-Seq,SAM000183222,2036
RHP4827 scRNA-Seq,SAM000183223,2036
RHP4828 scRNA-Seq,SAM000183224,2036
RHP4829 scRNA-Seq,SAM000183225,2036
RHP4830 scRNA-Seq,SAM000183226,2036
RHP4831 scRNA-Seq,SAM000183227,2036
RHP4832 scRNA-Seq,SAM000183228,2036
RHP4833 scRNA-Seq,SAM000183229,2036
RHP4834 scRNA-Seq,SAM000183230,2036
RHP4835 scRNA-Seq,SAM000183231,2036
RHP4836 scRNA-Seq,SAM000183232,2036
